Country,2017,2015,2013,2011
Argentina,67%,69%,69%,69%
Bolivia,79%,79%,79%,79%
Brazil,46%,47%,50%,53%
Chile,55%,57%,59%,61%
Colombia,48%,50%,52%,53%
Costa Rica,58%,59%,59%,58%
Dominican Republic,75%,76%,75%,76%
Ecuador,68%,68%,68%,68%
El Salvador,80%,81%,80%,80%
Guatemala,78%,79%,79%,79%
Honduras,75%,75%,74%,73%
Mexico,49%,52%,54%,57%
Nicaragua,81%,82%,82%,79%
Panama,71%,72%,72%,72%
Paraguay,83%,84%,84%,83%
Peru,62%,63%,65%,67%
Uruguay,67%,68%,68%,68%
Venezuela,89%,88%,88%,88%
Other LA,82%,83%,84%,84%
