Country,2017,2015,2013,2011
Algeria,82%,83%,85%,84%
Bahrain,52%,54%,53%,54%
Botswana,80%,79%,79%,80%
Cameroon,80%,82%,82%,83%
Egypt,59%,61%,62%,61%
Iraq,85%,85%,86%,86%
Israel,27%,29%,30%,31%
Ivory Coast,79%,80%,80%,81%
Jordan,55%,56%,57%,58%
Kenya,74%,76%,78%,78%
Kuwait,57%,58%,58%,59%
Lebanon,69%,70%,71%,71%
Libya,90%,90%,89%,90%
Mauritius,52%,54%,55%,57%
Morocco,64%,65%,66%,66%
Nigeria,80%,80%,81%,82%
Oman,60%,60%,60%,61%
Qatar,47%,48%,49%,50%
Reunion,38%,39%,39%,40%
Saudi Arabia,47%,49%,50%,51%
Senegal,74%,75%,77%,78%
South Africa,32%,33%,34%,35%
Tunisia,73%,74%,75%,74%
Turkey,56%,58%,60%,62%
UAE,32%,34%,36%,37%
Yemen,88%,87%,87%,89%
Zambia,80%,81%,81%,82%
Zimbabwe,89%,90%,91%,92%
Other Africa,83%,84%,85%,86%
Other ME,85%,84%,85%,87%
