Country,2011,2012,2013,2014,2015,2016,2017
Algeria,34467.4,39471.2,43674.5,47388.3,51814.1,56281.7,60716.2
Argentina,4650.9,5720.3,7409.8,10065.7,13213.4,18214.5,23968.3
Australia,639048.1,657392.3,693003,724372.9,741755.6,762327.7,790413.8
Austria,198568.5,206127.6,206326.4,211318.4,214028.9,223022.5,229636.2
Azerbaijan,12100.4,13387.7,15171.3,16581.1,17582.4,19983.5,23225.3
Bahrain,14524.8,15112.9,17198.7,17586,18491.8,19097.9,19704.4
Bangladesh,68540.6,78411,88036.1,98314.5,110726.9,123994.2,140115.3
Belarus,5632.7,10397.6,14651.1,16876.2,18461.3,19461.2,21568.1
Belgium,239242.2,246085.8,249272.7,252051.2,255734.1,263138.4,273441.9
Bolivia,14111.4,15341,17310.1,19398.6,19838.7,20896.4,23054.3
Brazil,566313,632829.5,710742.3,780402.9,830414.3,881697.1,941719.5
Bulgaria,27266.2,27497.3,27896.6,28374.8,29534.9,30797.2,33075.8
Cameroon,18637.5,19579.7,21469,22885,24093.8,24953.2,25936.8
Canada,712713.4,741718.3,775455.4,801280.2,837004.8,839136.8,881072.2
Chile,87706.6,98764.5,106215.4,114124.9,121376.5,131719.5,136309.3
China,3881003.1,4352694.4,4824248.7,5274231.8,5715663.3,6227634.1,6905378.4
Colombia,98974.9,105834.6,114654.1,124771.7,136790.1,145394.1,156324.8
Costa Rica,25655.9,27875.3,29723,32315,34234.5,37488.5,41962.9
Croatia,29354.1,29233,29084.8,28798.2,29585.5,30506.9,31565.6
Czech Republic,99793.6,101233,101387.4,104859.8,108723.4,112446.9,120080.8
Denmark,126168.4,128586.4,131505.5,133084.3,138846.5,145119.4,149654.1
Dominican Republic,33305.7,36102.9,39011.4,43405.9,48157.2,51006,54551.5
Ecuador,54000.9,58661,61911.3,66720.5,68072.5,69023.7,72266.2
Egypt,36469.3,45631.4,50705.6,60250.3,67987.7,75741.5,105405.2
El Salvador,23203,24505.8,25599.6,26184,26847.7,27403.4,28379.4
Estonia,9621.8,9903.4,10774.2,11362.4,11999.4,12672.1,13731.7
Finland,118323.6,121758.2,124850,126285,128477.1,131107.1,134206.5
France,1397120.7,1411136,1403712,1422189.2,1437998.4,1463735.2,1501105.8
Georgia,7149.7,7487.4,7559,8064.4,8807.1,8557.9,9824.6
Germany,1803375.3,1849269.9,1880873,1929183.6,1982840.7,2049679.8,2117474.6
Greece,151717.9,135638.3,126715.5,126585.7,126182.3,124571,124082.2
Guatemala,40199.3,43451.1,47025.2,50196.5,53092.6,56383.9,59493.2
Honduras,10792.3,11532.9,12463.4,13360.8,14365.8,15385.1,16969.7
Hungary,46660.8,47599,49228.1,51219,53216.7,55825,61068.8
India,851639.2,966193,1090783.8,1191617.5,1305245.3,1449115.7,1608509.7
Indonesia,314017.4,351529.9,392680.2,437464.8,477263.4,516498.3,564981.9
Iraq,73647.9,101160.6,101975.5,109438.8,98057.9,100571.9,103591.7
Ireland,90002.4,92177,91935.9,93197.6,98080.7,103021.2,109625.3
Israel,169643.6,177311.9,190562.4,200981.2,207809.5,218669.5,224460
Italy,1173452.8,1140946.9,1147025.2,1155351.4,1170589.3,1187615.3,1212363.3
Japan,2229752.6,2225316.1,2227432.2,2229601.7,2254458.8,2269553,2289648.2
Jordan,23155,26080.8,30934.6,32172.1,32851,33786.3,37524.1
Kazakhstan,28491.7,32802.4,37670.2,43981,48772.6,52116.7,58790.6
Kenya,21967.2,25060.4,28557.3,32096,36754.4,41020.4,46747.3
Kuwait,41170.9,45854.6,49271.2,53087.2,56575.8,58937.5,62398.3
Latvia,12884.4,13873.1,14284.7,14951.1,15771.3,16672.8,17807.8
Lebanon,684.5,775.6,825.1,867.3,863.9,859.2,905.9
Lithuania,21915.7,22877.5,23903.9,24299.5,24945.2,26814,27991.1
Malaysia,91564.2,100807.3,108989.1,118340.5,128522.6,136304.6,150829.4
Mexico,640917.8,673159.9,700336.8,754763.9,816414.9,871012.9,923981.5
Morocco,61396.7,63779.7,68145.6,68764.9,72195.5,72180.1,76358.2
Netherlands,354866,358113.5,361793.6,370634.2,377336.8,387880.7,397180.9
New Zealand,72135.2,76598,78244.4,80944.8,82370.8,87544.5,93923.1
Nigeria,67632.6,68783.8,95797.1,104912.5,121321.1,135019.5,148647.7
Norway,101210.4,106780.7,113368.1,118314.7,127248.8,128947.9,133976.2
Oman,24451.3,26327.8,27195.2,29261.9,30862.3,31056.8,34413.6
Pakistan,55224.1,61556.2,67394.5,75974.4,81575.2,88643.8,98449.9
Panama,21102.1,23534,26272.1,29547.1,30535.8,32984.6,34528.9
Paraguay,12921.6,13973.5,15028.6,16619.1,17333.8,18391,19922.7
Peru,81897.4,90797.6,98297.6,106038.2,113173.5,119982.4,125372.2
Philippines,139199,152967.8,165145.6,179593.5,188667.9,204450.3,222370.9
Poland,229497.6,239954.3,242351.5,254667.8,260957.2,274472.9,289478.2
Portugal,133801.9,130450.6,129136.3,128485.3,132870.8,137872.2,142274.3
Qatar,31112.9,34533.2,39899.8,39817.6,45804.8,46182.2,46958.7
Romania,77463.1,80114.5,86754.4,88550.1,94842.9,103801.4,118494.8
Russia,382579.5,438669.7,486384,536828.6,574497.8,603873.3,638193.1
Saudi Arabia,183855,212162.6,227866.7,249754,274884,291929.3,303277.2
Serbia,24288.1,26051.2,26959.9,27790,28297.1,28285.3,29194.1
Singapore,134374.2,145367.5,152892.2,159991.1,167915.2,171495.6,178276.6
Slovakia,45029.4,46258.3,46388.7,47396.7,49850.5,51422.8,53994.1
Slovenia,25086.8,24583.4,24508.5,24807,25242,26248.7,27469.5
South Africa,110486.3,120036.4,129980.2,140635.1,153989.9,164417.8,175214.9
South Korea,568307.7,589758.4,615069.8,640300.2,684587.4,699378.4,724966.2
Spain,736907,698018,695391.3,696649,724290.1,743436.6,765902.1
Sri Lanka,16283.5,18014.3,20520.8,22097.6,23345.2,25154.5,26843.1
Sweden,168949,176216.4,181210.1,187513,194344.1,202993.2,211414.4
