Country,2017,2015,2013,2011,region
Algeria,70,84,102,83,MEA
Argentina,308,554,950,657,LA
Australia,540,579,743,763,AP
Austria,121,131,173,226,WE
Azerbaijan,50,90,103,67,CEE
Bahrain,32,34,27,23,MEA
Bangladesh,226,236,197,147,AP
Belarus,59,76,173,87,CEE
Belgium,182,190,237,252,WE
Bolivia,94,98,95,59,LA
Brazil,1665,1770,2851,2848,LA
Bulgaria,72,78,101,102,CEE
Cameroon,20,21,9,9,MEA
Canada,819,893,1089,1141,NA
Chile,283,296,378,382,LA
China,6842,8657,8767,8902,AP
Colombia,241,281,396,295,LA
Costa Rica,80,90,98,62,LA
Croatia,48,49,64,74,CEE
Czech Republic,149,150,182,214,CEE
Denmark,167,176,224,222,WE
Dominican Republic,74,84,73,93,LA
Ecuador,132,137,130,92,LA
Egypt,64,157,198,172,MEA
El Salvador,61,63,72,58,LA
Estonia,16,16,20,25,CEE
Finland,166,171,208,210,WE
France,1996,2101,2685,2754,WE
Georgia,22,25,40,52,CEE
Germany,1566,1720,2158,2265,WE
Greece,173,189,220,343,WE
Guatemala,165,169,167,116,LA
Honduras,32,36,38,24,LA
Hungary,104,107,127,143,CEE
India,2474,2684,2911,2930,AP
Indonesia,1095,1145,1463,1467,AP
Iraq,107,120,116,172,MEA
Ireland,79,87,107,144,WE
Israel,165,161,177,192,MEA
Italy,1278,1341,1747,1945,WE
Japan,982,994,1349,1875,AP
Jordan,32,34,35,31,MEA
Kazakhstan,62,89,136,123,CEE
Kenya,99,113,128,85,MEA
Kuwait,86,94,97,72,MEA
Latvia,22,23,29,32,CEE
Lebanon,61,65,65,52,MEA
Lithuania,35,37,47,44,CEE
Malaysia,395,456,616,657,AP
Mexico,760,980,1211,1249,LA
Morocco,52,57,69,91,MEA
Netherlands,448,481,584,644,WE
New Zealand,62,66,78,99,AP
Nigeria,123,232,287,251,MEA
Norway,159,178,248,289,WE
Oman,56,59,65,36,MEA
Pakistan,267,276,344,278,AP
Panama,112,117,120,74,LA
Paraguay,76,89,115,73,LA
Peru,190,210,249,209,LA
Philippines,388,431,444,338,AP
Poland,415,447,563,618,CEE
Portugal,137,145,180,245,WE
Qatar,64,72,77,62,MEA
Romania,151,161,208,207,CEE
Russia,1291,1341,2658,3227,CEE
Saudi Arabia,356,412,421,449,MEA
Serbia,51,54,70,104,CEE
Singapore,235,290,344,255,AP
Slovakia,51,55,67,68,CEE
Slovenia,28,30,41,51,CEE
South Africa,241,274,385,564,MEA
South Korea,598,657,712,815,AP
Spain,859,913,1044,1216,WE
Sri Lanka,138,163,187,86,AP
Sweden,260,288,397,461,WE
Switzerland,399,448,469,514,WE
Taiwan,254,264,305,293,AP
Thailand,714,738,869,852,AP
Tunisia,39,49,66,51,MEA
Turkey,208,291,504,526,MEA
Ukraine,108,129,444,647,CEE
United Kingdom,1421,1935,2019,1943,WE
United States,8612,9095,9737,9773,NA
Uruguay,51,57,74,85,LA
Venezuela,317,402,1030,668,LA
Vietnam,492,598,620,395,AP
