Country,Year,Income (Million USD)
Algeria,2011,34467.4
Algeria,2012,39471.2
Algeria,2013,43674.5
Algeria,2014,47388.3
Algeria,2015,51814.1
Algeria,2016,56281.7
Algeria,2017,60716.2
Argentina,2011,4650.9
Argentina,2012,5720.3
Argentina,2013,7409.8
Argentina,2014,10065.7
Argentina,2015,13213.4
Argentina,2016,18214.5
Argentina,2017,23968.3
Australia,2011,639048.1
Australia,2012,657392.3
Australia,2013,693003
Australia,2014,724372.9
Australia,2015,741755.6
Australia,2016,762327.7
Australia,2017,790413.8
Austria,2011,198568.5
Austria,2012,206127.6
Austria,2013,206326.4
Austria,2014,211318.4
Austria,2015,214028.9
Austria,2016,223022.5
Austria,2017,229636.2
Azerbaijan,2011,12100.4
Azerbaijan,2012,13387.7
Azerbaijan,2013,15171.3
Azerbaijan,2014,16581.1
Azerbaijan,2015,17582.4
Azerbaijan,2016,19983.5
Azerbaijan,2017,23225.3
Bahrain,2011,14524.8
Bahrain,2012,15112.9
Bahrain,2013,17198.7
Bahrain,2014,17586
Bahrain,2015,18491.8
Bahrain,2016,19097.9
Bahrain,2017,19704.4
Bangladesh,2011,68540.6
Bangladesh,2012,78411
Bangladesh,2013,88036.1
Bangladesh,2014,98314.5
Bangladesh,2015,110726.9
Bangladesh,2016,123994.2
Bangladesh,2017,140115.3
Belarus,2011,5632.7
Belarus,2012,10397.6
Belarus,2013,14651.1
Belarus,2014,16876.2
Belarus,2015,18461.3
Belarus,2016,19461.2
Belarus,2017,21568.1
Belgium,2011,239242.2
Belgium,2012,246085.8
Belgium,2013,249272.7
Belgium,2014,252051.2
Belgium,2015,255734.1
Belgium,2016,263138.4
Belgium,2017,273441.9
Bolivia,2011,14111.4
Bolivia,2012,15341
Bolivia,2013,17310.1
Bolivia,2014,19398.6
Bolivia,2015,19838.7
Bolivia,2016,20896.4
Bolivia,2017,23054.3
Brazil,2011,566313
Brazil,2012,632829.5
Brazil,2013,710742.3
Brazil,2014,780402.9
Brazil,2015,830414.3
Brazil,2016,881697.1
Brazil,2017,941719.5
Bulgaria,2011,27266.2
Bulgaria,2012,27497.3
Bulgaria,2013,27896.6
Bulgaria,2014,28374.8
Bulgaria,2015,29534.9
Bulgaria,2016,30797.2
Bulgaria,2017,33075.8
Cameroon,2011,18637.5
