Country,Region,Year,Usage (Million USD)
Algeria,MEA,2017,70
Algeria,MEA,2015,84
Algeria,MEA,2013,102
Algeria,MEA,2011,83
Argentina,LA,2017,308
Argentina,LA,2015,554
Argentina,LA,2013,950
Argentina,LA,2011,657
Australia,AP,2017,540
Australia,AP,2015,579
Australia,AP,2013,743
Australia,AP,2011,763
Austria,WE,2017,121
Austria,WE,2015,131
Austria,WE,2013,173
Austria,WE,2011,226
Azerbaijan,CEE,2017,50
Azerbaijan,CEE,2015,90
Azerbaijan,CEE,2013,103
Azerbaijan,CEE,2011,67
Bahrain,MEA,2017,32
Bahrain,MEA,2015,34
Bahrain,MEA,2013,27
Bahrain,MEA,2011,23
Bangladesh,AP,2017,226
Bangladesh,AP,2015,236
Bangladesh,AP,2013,197
Bangladesh,AP,2011,147
Belarus,CEE,2017,59
Belarus,CEE,2015,76
Belarus,CEE,2013,173
Belarus,CEE,2011,87
Belgium,WE,2017,182
Belgium,WE,2015,190
Belgium,WE,2013,237
Belgium,WE,2011,252
Bolivia,LA,2017,94
Bolivia,LA,2015,98
Bolivia,LA,2013,95
Bolivia,LA,2011,59
Brazil,LA,2017,1665
Brazil,LA,2015,1770
Brazil,LA,2013,2851
Brazil,LA,2011,2848
Bulgaria,CEE,2017,72
Bulgaria,CEE,2015,78
Bulgaria,CEE,2013,101
Bulgaria,CEE,2011,102
Cameroon,MEA,2017,20
Cameroon,MEA,2015,21
Cameroon,MEA,2013,9
Cameroon,MEA,2011,9
Canada,NA,2017,819
Canada,NA,2015,893
Canada,NA,2013,1089
Canada,NA,2011,1141
Chile,LA,2017,283
Chile,LA,2015,296
Chile,LA,2013,378
Chile,LA,2011,382
China,AP,2017,6842
China,AP,2015,8657
China,AP,2013,8767
China,AP,2011,8902
Colombia,LA,2017,241
Colombia,LA,2015,281
Colombia,LA,2013,396
Colombia,LA,2011,295
Costa Rica,LA,2017,80
Costa Rica,LA,2015,90
Costa Rica,LA,2013,98
Costa Rica,LA,2011,62
Croatia,CEE,2017,48
Croatia,CEE,2015,49
Croatia,CEE,2013,64
Croatia,CEE,2011,74
Czech Republic,CEE,2017,149
Czech Republic,CEE,2015,150
Czech Republic,CEE,2013,182
Czech Republic,CEE,2011,214
Denmark,WE,2017,167
Denmark,WE,2015,176
