Country,2017,2015,2013,2011
Albania,74%,73%,75%,75%
Armenia,85%,86%,86%,88%
Azerbaijan,81%,84%,85%,87%
Belarus,82%,85%,86%,87%
Bosnia,61%,63%,65%,66%
Bulgaria,57%,60%,63%,64%
Croatia,50%,51%,52%,53%
Czech Republic,32%,33%,34%,35%
Estonia,41%,42%,47%,48%
FYROM,63%,64%,65%,66%
Georgia,81%,84%,90%,91%
Hungary,36%,38%,39%,41%
Kazakhstan,74%,73%,74%,76%
Latvia,48%,49%,53%,54%
Lithuania,50%,51%,53%,54%
Moldova,83%,86%,90%,90%
Montenegro,74%,76%,78%,79%
Poland,46%,48%,51%,53%
Romania,59%,60%,62%,63%
Russia,62%,64%,62%,63%
Serbia,66%,67%,69%,72%
Slovakia,35%,36%,37%,40%
Slovenia,41%,43%,45%,46%
Ukraine,80%,82%,83%,84%
Other CEE,86%,87%,89%,90%
