Country,2017,2015,2013,2011
Austria,19%,21%,22%,23%
Belgium,22%,23%,24%,24%
Cyprus,44%,45%,47%,48%
Denmark,20%,22%,23%,24%
Finland,22%,24%,24%,25%
France,32%,34%,36%,37%
Germany,20%,22%,24%,26%
Greece,61%,63%,62%,61%
Iceland,44%,46%,48%,48%
Ireland,29%,32%,33%,34%
Italy,43%,45%,47%,48%
Luxembourg,17%,19%,20%,20%
Malta,43%,44%,44%,43%
Netherlands,22%,24%,25%,27%
Norway,21%,23%,25%,27%
Portugal,38%,39%,40%,40%
Spain,42%,44%,45%,44%
Sweden,19%,21%,23%,24%
Switzerland,21%,23%,24%,25%
United Kingdom,21%,22%,24%,26%
