Country Name,2011,2012,2013,2014,2015,2016,2017
Aruba,101288,102112,102880,103594,104257,104874,105439
Africa Eastern and Southern,537792950,552530654,567892149,583651101,600008424,616377605,632746570
Afghanistan,29249157,30466479,31541209,32716210,33753499,34636207,35643418
Africa Western and Central,366489204,376797999,387204553,397855507,408690375,419778384,431138704
Angola,24259111,25188292,26147002,27128337,28127721,29154746,30208628
Albania,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Andorra,70567,71013,71367,71621,71746,72540,73837
Arab World,372351065,380383408,389131555,397922915,406501999,415077960,423664839
United Arab Emirates,8575205,8664969,8751847,8835951,8916899,8994263,9068296
Argentina,41261490,41733271,42202935,42669500,43131966,43590368,44044811
Armenia,2928976,2914421,2901385,2889930,2878595,2865835,2851923
American Samoa,54310,53691,52995,52217,51368,50448,49463
Antigua and Barbuda,86729,87674,88497,89236,89941,90564,91119
Australia,22340024,22733465,23128129,23475686,23815995,24190907,24592588
Austria,8391643,8429991,8479823,8546356,8642699,8736668,8797566
Azerbaijan,9173082,9295784,9416801,9535079,9649341,9757812,9854033
Burundi,9455733,9795479,10149577,10494913,10727148,10903327,11155593
Belgium,11038264,11106932,11159407,11209057,11274196,11331422,11375158
Benin,9726380,10014078,10308730,10614844,10932783,11260085,11596779
Burkina Faso,16602651,17113732,17636408,18169842,18718019,19275498,19835858
Bangladesh,150211005,152090649,154030139,155961299,157830000,159784568,161793964
Bulgaria,7348328,7305888,7265115,7223938,7177991,7127822,7075947
Bahrain,1212077,1224939,1261673,1311134,1362142,1409661,1456834
"Bahamas, The",377950,382061,385650,389131,392697,395976,399020
Bosnia and Herzegovina,3743142,3674374,3617559,3571068,3524324,3480986,3440027
Belarus,9461643,9446836,9443211,9448515,9461076,9469379,9458989
Belize,329538,337059,344688,352335,359871,367313,374693
Bermuda,64564,64798,65001,65138,65237,64554,63873
Bolivia,10396246,10569697,10743349,10916987,11090085,11263015,11435533
Brazil,198185302,199977707,201721767,203459650,205188205,206859578,208504960
Barbados,275486,276197,276865,277493,278083,278649,279187
Brunei Darussalam,401506,406634,411702,416656,421437,425994,430276
Bhutan,713331,721145,728889,736357,743274,749761,756121
Botswana,2134037,2175425,2217278,2260376,2305171,2352416,2401840
